209	
1	<u>Sh</u>áh-Muḥammad-i-Aminu'l-Bayán	Shah-Muhammad-i-Aminu'l-Bayan
1	<u>Sh</u>áh-Muḥammad-i-Man<u>sh</u>ádí	Shah-Muhammad-i-Manshadi
1	<u>Sh</u>áh-Nameh}	Shah-Nameh}
1	<u>Sh</u>áh-Namih}	Shah-Namih}
1	<u>Sh</u>áh-Ni'matu'llah	Shah-Ni'matu'llah
1	<u>Sh</u>áh-Ni'matu'llahi	Shah-Ni'matu'llahi
2	<u>Sh</u>áh-Quli	Shah-Quli
1	<u>Sh</u>áh-Rud	Shah-Rud
3	<u>Sh</u>áh-Rukh	Shah-Rukh
1	<u>Sh</u>áh-Rukh's	Shah-Rukh's
1	<u>Sh</u>áh-Savan	Shah-Savan
1	<u>Sh</u>áh-Savan	Sháh-Savan
1	<u>Sh</u>áh-Sulṭán	Shah-Sultan
1	<u>Sh</u>áh-Sulṭán	Sháh-Sultán
2	<u>Sh</u>áh-Zadih	Shah-Zadih
1	<u>Sh</u>áh-i-Durrani	Shah-i-Durrani
1	<u>Sh</u>áh-i-anjuman-i-dilbaran	Shah-i-anjuman-i-dilbaran
1	<u>Sh</u>áh-i-shanba	Shah-i-shanba
2	<u>Sh</u>áh-in-<u>Sh</u>áh	Shah-in-Shah
1	<u>Sh</u>áh-name	Shah-name
1	<u>Sh</u>áh-ra	Shah-ra
1	<u>Sh</u>áh-replied	Shah-replied
1	<u>Sh</u>áh-rud	Shah-rud
1	<u>Sh</u>áh-rúd	Sháh-rúd
1	<u>Sh</u>áh-savans	Shah-savans
1	<u>Sh</u>áh-sevans	Shah-sevans
1	<u>Sh</u>áh-seven	Shah-seven
1	<u>Sh</u>áh-sevens	Shah-sevens
1	<u>Sh</u>áh-suz~an	Shah-suz~an
1	<u>Sh</u>áh-to	Shah-to
1	<u>Sh</u>áh-to-be	Shah-to-be
1	<u>Sh</u>áh-‘Abbás	Shah-'Abbas
2	<u>Sh</u>áh-‘Abdu’l-‘Aẓím	Shah-'Abdu'l-'Azim
1	<u>Sh</u>áh-Ḥusayn	Shah-Husayn
1	<u>Sh</u>áh.{201}	Shah.{201}
1	<u>Sh</u>áh:-"It	Shah:-"It
2	<u>Sh</u>áhin<u>sh</u>áh	Shahenshah
3	<u>Sh</u>áhin<u>sh</u>áh	Shahinshah
4	<u>Sh</u>áhmírzád	Shahmirzad
2	<u>Sh</u>áhmírzádí	Shahmirzadi
1	<u>Sh</u>áhrúd	Shahrood
5	<u>Sh</u>áhrúd	Shahrud
2	<u>Sh</u>áhrúd	Sháhrúd
10	<u>Sh</u>áhs	Shahs
1	<u>Sh</u>áhs	Sháhs
1	<u>Sh</u>áhzádih	Shahzadeh
1	<u>Sh</u>áhzádih	Shahzadih
1	<u>Sh</u>áhzádih	Sháhzádih
1	<u>Sh</u>áh}	Shah}
1	<u>Sh</u>áh}	Sháh}
1	<u>Sh</u>áh~	Shah~
1	<u>Sh</u>áh~s	Shah~s
3	<u>Sh</u>áh’s	Shah’s
95	<u>Sh</u>íráz	Shiraz
7	<u>Sh</u>íráz	Shíráz
1	<u>Sh</u>íráz, Mírzá ‘Alí-Muḥammad	Shiraz, Mirza 'Ali Muhammad
1	<u>Sh</u>íráz, and also Muḥammad-‘Alíy-i-Tabíb	Shíráz, and also Muhammad 'Alíy-i-Tabíb
1	<u>Sh</u>íráz-may	Shiraz-may
1	<u>Sh</u>íráz-name	Shiraz-name
1	<u>Sh</u>íráz-ra	Shiraz-ra
1	<u>Sh</u>íráz-town	Shiraz-town
1	<u>Sh</u>íráz.+	Shiraz.+
1	<u>Sh</u>íráz.[2-	Shiraz.[2-
1	<u>Sh</u>íráz.[7-	Shiraz.[7-
1	<u>Sh</u>íráz.\	Shiraz.\
1	<u>Sh</u>íráz.·He	Shiraz.·He
2	<u>Sh</u>íráz}	Shiraz}
1	<u>Sh</u>íráz}	Shíráz}
2	<u>Sh</u>írází	Shirazee
30	<u>Sh</u>írází	Shirazi
2	<u>Sh</u>írází	Shírází
2	<u>Sh</u>írází's	Shirazi's
1	<u>Sh</u>írází[13-	Shirazi[13-
2	<u>Sh</u>írázís	Shirazis
34	<u>Sh</u>í‘ah	Shi'ah
34	<u>Sh</u>í‘ah	Shi'ih
4	<u>Sh</u>í‘ah	Shiah
2	<u>Sh</u>í‘ah	Shi‘ah
2	<u>Sh</u>í‘ah	Shi’ah
1	<u>Sh</u>í‘ah	Shi’ih
1	<u>Sh</u>í‘ah	Shí'ah
4	<u>Sh</u>í‘ah	Shí'ih
2	<u>Sh</u>í‘ah	Shí‘ah
2	<u>Sh</u>í‘ah's	Shi'ah's
2	<u>Sh</u>í‘ah(s	Shi'ih(s
1	<u>Sh</u>í‘ah-fashion	Shiah-fashion
22	<u>Sh</u>í‘ahs	Shi'ahs
11	<u>Sh</u>í‘ahs	Shi'ihs
4	<u>Sh</u>í‘ahs	Shiahs
1	<u>Sh</u>í‘ahs	Shí‘ahs
4	<u>sh</u>ay<u>kh</u>	sheik
3	<u>sh</u>ay<u>kh</u>	sheikh
1	<u>sh</u>ay<u>kh</u>'s	sheik's
1	<u>sh</u>ay<u>kh</u>'s	sheikh's
